2131347, Aaron,2018,5,5, aaron@yorku.ca,EECS1020
2170150, Abel,2017,3,21, abel@yorku.ca,EECS1030
2162607, Abner,2012,12,9, abner@yorku.ca,EECS1030
2155469, Abraham,2016,4,9, abraham@yorku.ca,EECS1011; EECS1021; EECS2030
2133724, Adam,2017,7,5, adam@yorku.ca,EECS1012; EECS1022; EECS2030
2166209, Adelbert,2012,12,18, adelbert@yorku.ca,EECS1028
2137229, Adrian,2016,12,28, adrian@yorku.ca,EECS1030; EECS2031
2187226, Alan,2013,1,8, alan@yorku.ca,EECS1030
2189856, Albert,2017,9,16, albert@yorku.ca,EECS1012
2120957, Alexander,2017,3,14, alexander@yorku.ca,EECS1012; EECS1022
2135016, Alfred,2017,8,6, alfred@yorku.ca,EECS1520
2149680, Algernon,2018,7,16, algernon@yorku.ca,EECS1001
2153509, Alister,2016,3,25, alister@yorku.ca,EECS1012
2155909, Alonso,2014,11,1, alonso@yorku.ca,EECS1011; EECS1021
2160848, Alphonso,2018,6,7, alphonso@yorku.ca,EECS1012; EECS1022
2129254, Alva,2012,3,27, alva@yorku.ca,EECS1011
2141081, Alvin,2016,12,15, alvin@yorku.ca,
2182370, Ambrose,2015,7,24, ambrose@yorku.ca,
2162067, Amos,2013,7,1, amos@yorku.ca,
2122330, Andrew,2014,1,29, andrew@yorku.ca,EECS1020
2166442, Angus,2014,5,13, angus@yorku.ca,EECS1011
2187235, Anselm,2014,7,1, anselm@yorku.ca,EECS1012; EECS1022
2177009, Anthony,2016,1,21, anthony@yorku.ca,EECS1012
2172470, Archibald,2015,3,27, archibald@yorku.ca,EECS1001
2142553, Arnold,2012,2,25, arnold@yorku.ca,EECS1012
2170645, Arthur,2015,3,20, arthur@yorku.ca,EECS1011; EECS1021
2182692, Augustus,2015,5,22, augustus@yorku.ca,
2152981, Augustine,2016,3,14, augustine@yorku.ca,EECS1012
2166544, Austin,2016,8,2, austin@yorku.ca,EECS1012; EECS1022
2154099, Avery,2014,9,25, avery@yorku.ca,EECS1030
2130243, Baldwin,2014,2,19, baldwin@yorku.ca,EECS1030
2160795, Barrett,2014,1,1, barrett@yorku.ca,EECS1030
2158165, Bartholomew,2019,8,13, bartholomew@yorku.ca,
2177983, Basil,2018,1,9, basil@yorku.ca,EECS1012; EECS1022
2180683, Benedict,2016,12,22, benedict@yorku.ca,EECS1011; EECS1021
2185383, Benjamin,2012,6,21, benjamin@yorku.ca,EECS1030
2182636, Bennet,2015,1,13, bennet@yorku.ca,EECS1020
2123645, Bernard,2019,11,17, bernard@yorku.ca,EECS1011
2176543, Bert,2012,11,23, bert@yorku.ca,EECS1001
2129043, Berthold,2018,8,7, berthold@yorku.ca,EECS1012; EECS1022
2143221, Bertram,2013,3,28, bertram@yorku.ca,
2189078, Bill,2016,11,23, bill@yorku.ca,EECS1012; EECS1022
2130614, Blair,2018,3,22, blair@yorku.ca,EECS1012; EECS1022
2129611, Blake,2016,5,12, blake@yorku.ca,EECS1028
2186059, Boris,2015,2,11, boris@yorku.ca,
2159148, Bradford,2015,12,3, bradford@yorku.ca,EECS1011; EECS1021
2147899, Bradley,2015,4,26, bradley@yorku.ca,
2149559, Brady,2015,3,3, brady@yorku.ca,EECS1011
